"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 27 01:40:43 MSK 2022","Sun Mar 27 01:40:57 MSK 2022","13842","Cross browser parallel suit","test on edge","tests.AmazonTests","tests.AmazonTests","test","test",""
"passed","Sun Mar 27 01:40:43 MSK 2022","Sun Mar 27 01:40:57 MSK 2022","13115","Cross browser parallel suit","test on chrome","tests.AmazonTests","tests.AmazonTests","test","test",""
